description,parole_chiave
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,driver using hands use handheld telephone whilemotor vehicle motion
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,exceeding posted speed limit 30 mph
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
DRIVER FAIL TO MAKE REQUIRED STOP AT SIGN,driver fail make required stop sign
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,driver failure stop steady circular red signal
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,driving vehicle highway without current registration plates validation tabs
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,failure display two lighted front lamps required
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
MOTOR VEH WO REQUIRED STOP LAMPS EQUIPMENT,motor veh wo required stop lamps equipment
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT,driving veh hwy wo required minimum equipment
DRIVING VEH ON HWY WITH UNPAID REGISTRATION FEE,driving veh hwy unpaid registration fee
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,driver using hands use handheld telephone whilemotor vehicle motion
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,driving veh wo adequate rear reg plate illumination
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes unsafe
FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,failure drive vehicle right half roadway required
DRIVER SPINNING WHEELS,driver spinning wheels
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY SPEED,driving vehicle excess reasonable prudent speed highway speed
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,exceeding posted speed limit 35 mph
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,failure attach vehicle registration plates front rear
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,exceeding posted speed limit 30 mph
DRIVING A MOTOR VEH WITHOUT A VALID MEDICAL EXAMINERS CERTIFICATE IN POSSESSION,driving motor veh without valid medical examiners certificate possession
FAILURE TO STOP AT STOP SIGN,failure stop stop sign
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,driver using hands use handheld telephone whilemotor vehicle motion
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,driver fail stop flashing red traffic signal stop line
FAILURE TO PROPERLY EQUIP LOCATE HEADLAMPS ON MOTOR VEH,failure properly equip locate headlamps motor veh
EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,exceeding posted speed limit 55 mph
FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM FOREIGN MATERIALS COVERS,failure maintain legible registration plate free foreign materials covers
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,driving veh wo adequate rear reg plate illumination
FAILURE TO EQUIP VEH WITH REQUIRED REAR STOP LAMP,failure equip veh required rear stop lamp
DRIVER FAIL TO STOP AT STEADY CIRCULAR RED SIGNAL,driver fail stop steady circular red signal
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,exceeding posted speed limit 35 mph
FAILURE TO MAINTAIN WINDSHIELD WIPERS IN GOOD WORKING ORDER,failure maintain windshield wipers good working order
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,exceeding posted speed limit 35 mph
FAILURE TO EQUIP VEH WITH REQUIRED REAR STOP LAMP,failure equip veh required rear stop lamp
EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,exceeding posted speed limit 45 mph
FAILURE NOTIFY ADM ADDRESS CHANGE,failure notify adm address change
DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN,driver fail stop red traffic signal right turn
MODIFYING EXHAUST SYSTEM ON MOTOR VEH CAUSING EXCESSIVE NOISE EMISSION,modifying exhaust system motor veh causing excessive noise emission
MOTOR VEH WO REQUIRED STOP LAMPS EQUIPMENT,motor veh wo required stop lamps equipment
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued state
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
VEH HWY OPERATION WITH INADEQUATE REAR LAMPS,veh hwy operation inadequate rear lamps
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes unsafe
FAILURE TO PROPERLY EQUIP LOCATE HEADLAMPS ON MOTOR VEH,failure properly equip locate headlamps motor veh
DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,driver motor vehicle following vehicle closer reasonable prudent
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
FAILURE TO DISPLAY REFLECT RED COLOR LIGHT ON REAR LAMPS AND REFLECTORS AS REQ,failure display reflect red color light rear lamps reflectors req
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued state
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,failure display two lighted front lamps required
FAILURE TO EQUIP VEH WITH REQUIRED REAR STOP LAMP,failure equip veh required rear stop lamp
FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM FOREIGN MATERIALS,failure maintain legible registration plate free foreign materials
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,exceeding posted speed limit 30 mph
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
OPER MOTOR VEH WITH OPERATOR NOT RESTRAINED BY SEAT BELT,oper motor veh operator restrained seat belt
FAILURE TO REDUCE SPEED ON CURVE,failure reduce speed curve
DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN,driver fail stop red traffic signal right turn
EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,exceeding posted speed limit 55 mph
FAILURE OF VEH DRIVER TO CARRY CURRENT REG CARD,failure veh driver carry current reg card
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,exceeding posted speed limit 35 mph
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,driving veh wo adequate rear reg plate illumination
FAILURE TO STOP AT STOP SIGN,failure stop stop sign
DISPLAYING REG PLATE ISSUED FOR OTHER VEHICLE,displaying reg plate issued vehicle
OPERATING MOTOR VEHICLE WITHOUT ADEQUATE HORN,operating motor vehicle without adequate horn
FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERG VEH,failure dr make lane change avail lane immed adj stopped emerg veh
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT,driving veh hwy wo required minimum equipment
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,exceeding posted speed limit 55 mph
DRIVER ENTERING CROSSWALK AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,driver entering crosswalk flashing red traffic signal without stopping
FAILURE TO EQUIP VEH WITH REQUIRED REAR STOP LAMP,failure equip veh required rear stop lamp
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,failure control vehicle speed highway avoid collision
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,driving vehicle excess reasonable prudent speed highway
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT,driving veh hwy wo required minimum equipment
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,failure display two lighted front lamps required
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,driver fail stop flashing red traffic signal stop line
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,failure licensee notify administration change address within 30 days
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,failure licensee notify administration change address within 30 days
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,driving vehicle excess reasonable prudent speed highway
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,operating vehicle highway unauthorized window tinting material
3 OF 3 REAR ID LIGHTS INOPERATIVE,3 3 rear id lights inoperative
EXCEEDING THE POSTED SPEED LIMIT OF 25 MPH,exceeding posted speed limit 25 mph
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
ATTEMPT BY DRIVER TO ELUDE POLICE IN OFFICIAL POLICE VEHICLE BY FAILING TO STOP,attempt driver elude police official police vehicle failing stop
FAILURE TO STOP WHEN ENTERING HIGHWAY,failure stop entering highway
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVER FAILURE TO STOP AT STOP SIGN LINE,driver failure stop stop sign line
EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,exceeding posted speed limit 55 mph
FAILURE TO SECURELY FASTEN REGISTRATION PLATE TO VEHICLE,failure securely fasten registration plate vehicle
UNSAFE LANE CHANGING,unsafe lane changing
FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERG VEHICLE,failure dr make lane change avail lane immed adj stopped emerg vehicle
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
DRIVER FAILURE TO STOP AT STOP SIGN LINE,driver failure stop stop sign line
INSTALLING WINDOW TINTING MATERIAL NOT IN COMPLIANCE WITH REQUIREMENTS,installing window tinting material compliance requirements
DRIVER FAILURE TO STOP AT STOP SIGN LINE,driver failure stop stop sign line
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,failure veh hwy display lighted lamps illuminating device unfavorable visibility cond
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,exceeding posted speed limit 35 mph
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,failure display two lighted front lamps required
DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN,driver fail stop red traffic signal right turn
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,driver using hands use handheld telephone whilemotor vehicle motion
PROHIBITED DOUBLE PARKING,prohibited double parking
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
HEADLIGHT INOPERATIVE,headlight inoperative
FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERG VEH,failure dr make lane change avail lane immed adj stopped emerg veh
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,failure display two lighted front lamps required
DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT,driving veh hwy wo required minimum equipment
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,failure licensee notify administration change address within 30 days
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,exceeding posted speed limit 30 mph
FAILURE TO EQUIP VEH WITH REQUIRED REAR STOP LAMP,failure equip veh required rear stop lamp
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,exceeding posted speed limit 30 mph
RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,reckless driving vehicle wanton willful disregard safety persons property
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERG VEH,failure dr make lane change avail lane immed adj stopped emerg veh
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
FAILURE OF LOADED HWY VEH TO BE SAFELY LOADED,failure loaded hwy veh safely loaded
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,exceeding posted speed limit 40 mph
DISPLAYING EXPIRED REGISTRATION PLATE,displaying expired registration plate
FAILURE TO DISPLAY TAB ON PLATES OF VEH AS REQUIRED BY ADM,failure display tab plates veh required adm
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,exceeding posted speed limit 35 mph
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,failure display two lighted front lamps required
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,failure veh hwy display lighted lamps illuminating device unfavorable visibility cond
DRIVER FAIL TO STOP AT STEADY CIRCULAR RED SIGNAL OR AT STEADY RED ARROW SIGNAL,driver fail stop steady circular red signal steady red arrow signal
DRIVER READING A TEXT MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY,driver reading text msg oper veh travel portion hwy
3 OF 3 REAR ID LIGHT INOPERATIVE,3 3 rear id light inoperative
FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,failure drive vehicle right half roadway required
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,failure veh hwy display lighted lamps illuminating device unfavorable visibility cond
FAILURE TO EQUIP VEH WITH REQUIRED REAR STOP LAMP,failure equip veh required rear stop lamp
FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERG VEH,failure dr make lane change avail lane immed adj stopped emerg veh
WILLFULLY DRIVING MOTOR VEH AT SLOW SPEED IMPEDING NORMAL AND REASONABLE TRAFFIC MOVEMENT,willfully driving motor veh slow speed impeding normal reasonable traffic movement
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,exceeding posted speed limit 35 mph
DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,driver motor vehicle following vehicle closer reasonable prudent
DRIVER FAILURE TO STOP AT STOP SIGN LINE,driver failure stop stop sign line
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,driver using hands use handheld telephone whilemotor vehicle motion
EXCEEDING HIGHWAY WORK ZONE SPEED LIMIT,exceeding highway work zone speed limit
DRIVER FAILURE TO STOP AT STOP SIGN LINE,driver failure stop stop sign line
DRIVER FAILING TO GIVE TURN SIGNAL CONTINUOUSLY DURING LAST 100 OF TRAVEL BEFORE TURNING,driver failing give turn signal continuously last 100 travel turning
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,exceeding posted speed limit 30 mph
EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,exceeding posted speed limit 45 mph
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,driver using hands use handheld telephone whilemotor vehicle motion
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,exceeding posted speed limit 35 mph
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued state
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,driving veh wo adequate rear reg plate illumination
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,failure attach vehicle registration plates front rear
STOPLIGHT INOPERATIVE,stoplight inoperative
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
OPERATOR NOT RESTRAINED BY SEATBELT,operator restrained seatbelt
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes unsafe
EXCEEDING THE POSTED SPEED LIMIT OF 25 MPH,exceeding posted speed limit 25 mph
DRIVER FAILURE TO STOP AT STOP SIGN LINE,driver failure stop stop sign line
FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,failure drive vehicle right half roadway required
FAILURE TO PROPERLY EQUIP LOCATE HEADLAMPS ON MOTOR VEH,failure properly equip locate headlamps motor veh
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
FAILURE TO STOP AT STOP SIGN,failure stop stop sign
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
ALLOWING VEH TO BE DRIVEN ON HWY WITH SUSPENDED REGISTRATION,allowing veh driven hwy suspended registration
DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT,driving veh hwy wo required minimum equipment
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,driving veh wo adequate rear reg plate illumination
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,exceeding posted speed limit 30 mph
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,exceeding posted speed limit 30 mph
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
OWNER FAILURE TO MAINTAIN REQUIRED SECURITY FOR VEH DURING REG PERIOD,owner failure maintain required security veh reg period
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS,failure maintain legible registration plate free covers
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,failure attach vehicle registration plates front rear
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,failure display two lighted front lamps required
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 6245,driving vehicle excess reasonable prudent speed highway 6245
HOLDER OF LEARNERS PERMIT DRIVING WO REQ SUPERVISION,holder learners permit driving wo req supervision
DRIVING MOTOR VEH WITH OBSTRUCTED WINDSHIELD,driving motor veh obstructed windshield
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,failure veh hwy display lighted lamps illuminating device unfavorable visibility cond
PERSON WITH MD REG VEHICLE FAILING TO TRANSPORT CHILD WEIGHING 40 LBS OR LESS IN CHILD SAFETY SEAT,person md reg vehicle failing transport child weighing 40 lbs less child safety seat
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,exceeding posted speed limit 30 mph
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,exceeding posted speed limit 55 mph
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,exceeding posted speed limit 30 mph
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,failure licensee notify administration change address within 30 days
DRIVER FAILURE TO STOP AT STOP SIGN LINE,driver failure stop stop sign line
DRIVER FAILURE TO STOP AT STOP SIGN LINE,driver failure stop stop sign line
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
FAILURE TO CONTROL VEH SPEED ON HWY TO AVOID COLLISION,failure control veh speed hwy avoid collision
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,driver using hands use handheld telephone whilemotor vehicle motion
UNLAWFUL USE OF HISTORIC PASSENGER VEH FOR GENERAL DAILY TRANSPORTATION,unlawful use historic passenger veh general daily transportation
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,driving vehicle excess reasonable prudent speed highway
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,failure licensee notify administration change address within 30 days
EXCEEDING HIGHWAY WORK ZONE SPEED LIMIT,exceeding highway work zone speed limit
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,failure attach vehicle registration plates front rear
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,exceeding posted speed limit 45 mph
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,failure veh hwy display lighted lamps illuminating device unfavorable visibility cond
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes unsafe
DRIVER FAIL TO STOP AT STEADY RED ARROW SIGNAL,driver fail stop steady red arrow signal
FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS,failure maintain legible registration plate free covers
DRIVING UNSAFE VEH ON HWY,driving unsafe veh hwy
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
DRIVER FAILURE TO REDUCE LIGHT DISTRIBUTION WHEN WITHIN 300 FEET OF APPROACHING VEH FROM REAR,driver failure reduce light distribution within 300 feet approaching veh rear
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
FAILURE TO DISPLAY REFLECT RED COLOR LIGHT ON REAR LAMPS AND REFLECTORS AS REQ,failure display reflect red color light rear lamps reflectors req
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,exceeding posted speed limit 30 mph
DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,driver failure stop pedestrian crosswalk
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,failure display two lighted front lamps required
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,exceeding posted speed limit 35 mph
DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT,driving veh hwy wo required minimum equipment
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,failure attach vehicle registration plates front rear
DRIVING WRONG WAYONE WAY STREET,driving wrong wayone way street
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,exceeding posted speed limit 30 mph
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,exceeding posted speed limit 55 mph
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,failure veh hwy display lighted lamps illuminating device unfavorable visibility cond
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,driver using hands use handheld telephone whilemotor vehicle motion
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,driver failure stop steady circular red signal
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,exceeding posted speed limit 40 mph
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,exceeding posted speed limit 35 mph
