description,parole_chiave
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
DRIVER FAIL TO MAKE REQUIRED STOP AT SIGN,make required stop
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,posted speed limit
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,posted speed limit
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,highway without current registration plates
FAILURE VEH TO YIELD INTERSECTION RIGHTOFWAY TO ANOTHER VEH,yield intersection rightofway
DRIVER FAIL TO MAKE REQUIRED STOP AT SIGN,make required stop
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,uniformed police
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,steady circular red signal
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,posted speed limit
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,display two lighted front lamps
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE,unauthorized display
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,posted speed limit
FAILURE TO DISPLAY TAB ON PLATES OF VEH AS REQUIRED BY ADM,display tab
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
STOPPING VEH ON CROSSWALK,stopping veh
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,flashing red traffic signal without stopping
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,steady circular red signal
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,display lighted lamps illuminating device
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,posted speed limit
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,posted speed limit
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,driving veh wo adequate rear reg plate illumination
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued
MODIFYING EXHAUST SYSTEM ON MOTOR VEH CAUSING EXCESSIVE NOISE EMISSION,motor veh causing excessive noise emission
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,posted speed limit
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,address within 30 days
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,posted speed limit
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,display lighted lamps illuminating device
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,flashing red traffic signal stop line
DRIVING VEH WHILE WEARING EARPHONES,wearing earphones
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,posted speed limit
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE,unauthorized display
FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,right half
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,attach vehicle registration plates
DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT,hwy wo required minimum equipment
FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERGENCY VEHICLE,stopped emergency vehicle
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,display lighted lamps illuminating device
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,display two lighted front lamps
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,posted speed limit
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,display lighted lamps illuminating device
FAILURE TO PROPERLY EQUIP LOCATE HEADLAMPS ON MOTOR VEH,properly equip locate headlamps
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,display two lighted front lamps
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,address within 30 days
DRIVING VEH WITHOUT REQUIRED SIGNAL LAMPS,driving veh without required signal lamps
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,display two lighted front lamps
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,steady circular red signal
FAILURE TO DISPLAY REFLECT RED COLOR LIGHT ON REAR LAMPS AND REFLECTORS AS REQ,display reflect red color light
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,posted speed limit
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,display two lighted front lamps
FAILURE TO EQUIP VEH WITH REQUIRED REAR STOP LAMP,required rear stop lamp
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,display lighted lamps illuminating device
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,posted speed limit
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,attach vehicle registration plates
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued
FAILURE TO DISPLAY REFLECT RED COLOR LIGHT ON REAR LAMPS AND REFLECTORS AS REQ,display reflect red color light
DRIVING UNSAFE VEH ON HWY,driving unsafe veh
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued
FAILURE TO STOP AT STOP SIGN,stop sign
EXCEEDING THE POSTED SPEED LIMIT OF 25 MPH,posted speed limit
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,posted speed limit
FAILURE TO STOP AT STOP SIGN,stop sign
EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,posted speed limit
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,display two lighted front lamps
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,right half
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,imprudent manner endangering property life
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,address within 30 days
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,display two lighted front lamps
RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,reckless driving vehicle
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,display two lighted front lamps
FAILURE TO CARRY REGISTRATION CARD WITHIN VEHICLE,carry registration card within vehicle
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
EXCEEDING THE POSTED SPEED LIMIT OF 25 MPH,posted speed limit
OPERATOR NOT RESTRAINED BY SEATBELT,seatbelt
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,unauthorized window tinting material
DRIVING VEH WITHOUT REQUIRED SIGNAL LAMPS,driving veh without required signal lamps
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,posted speed limit
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,uniformed police
DRIVER FAILURE TO STOP AT STOP SIGN LINE,stop sign line
DRIVER FAILURE TO STOP AT STOP SIGN LINE,stop sign line
EXCEEDING THE POSTED SPEED LIMIT OF 50 MPH,posted speed limit
FALSIFYINGATTEMPT FALSIFY WITH FRAUDULENT INTENT OFFICIAL DOCUMENTPLATE ISSUED BY AD,fraudulent intent official documentplate issued
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,highway without current registration plates
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
DRIVER MAKING IMPROPER TURN AT INTERSECTION,driver making improper turn
DRIVER FAILURE TO GIVE REQUIRED SIGNAL OF INTENTION TO TURN,give required signal
FAILURE TO DISPLAY REFLECT RED COLOR LIGHT ON REAR LAMPS AND REFLECTORS AS REQ,display reflect red color light
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,display lighted lamps illuminating device
FAILURE OF DRIVER TO DRIVE TO CURB UPON SIGNAL BY POLICE VEH,curb upon signal
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,steady circular red signal
DRIVER FAILURE TO STOP AT STOP SIGN BEFORE ENTERING CROSSWALK,entering crosswalk
DISPLAYING EXPIRED REGISTRATION PLATES ISSUED BY ANY STATE,displaying expired registration plates issued
DRIVER FAILURE TO STOP BEFORE ENTERING HWY FROM PRIVATE DRIVEWAY,private driveway
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,prudent speed
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,display two lighted front lamps
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 58 IN 40,prudent speed
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,posted speed limit
EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,posted speed limit
FAILURE OF MV OPER TO PRESENT EVIDENCE OF REQUIRED SECURITY ON REQUEST OF A LAW ENFORCEMENT OFFICER,law enforcement officer
DRIVER FAILURE AT T INTERSECTION WO TRAFFIC CONTROL DEVICE TO YIELD RIGHTOFWAY,intersection wo traffic control device
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,flashing red traffic signal stop line
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
1 0F 3 REAR CLEARANCE LIGHTS INOPERATIVE,1 0f 3 rear clearance lights inoperative
OPERATING A MV WO PROPER REQUIRED EMERGENCY ROADSIDE WARNING DEVICES,mv wo proper required emergency roadside warning devices
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,display two lighted front lamps
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,posted speed limit
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,right half
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,highway without current registration plates
DRIVER FAILURE TO OBEY TRAFFIC DEVICE ON MAKING TURN,obey traffic device
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,display lighted lamps illuminating device
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,highway without current registration plates
FAILURE TO EQUIP VEH WITH REQUIRED REAR STOP LAMP,required rear stop lamp
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,display lighted lamps illuminating device
EXCEEDING HIGHWAY WORK ZONE SPEED LIMIT,exceeding highway work zone speed limit
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,display two lighted front lamps
DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT,hwy wo required minimum equipment
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,display two lighted front lamps
EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,posted speed limit
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
OPERATING MOTOR VEHICLE WITHOUT ADEQUATE HORN,operating motor vehicle without adequate horn
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,steady circular red signal
EXCEEDING SPEED LIMIT IN SCHOOL ZONE WITH FLASHING LIGHTSNOTICE OF DOUBLE FINES 39 MPH IN 30 ZONE,double fines 39 mph
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
FAILURE NOTIFY ADM ADDRESS CHANGE,failure notify adm address change
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN,red traffic signal
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes
PERMITTING VEH TO BE DRIVEN ON HWY WO CURRENT REGISTRATION VALIDATION TABS ISSUED BY ADM,hwy wo current registration validation tabs issued
STOPPING VEH ON CROSSWALK,stopping veh
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,posted speed limit
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,display lighted lamps illuminating device
DRIVER FAILURE TO STOP AT STOP SIGN LINE,stop sign line
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,steady circular red signal
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,operating unregistered motor vehicle
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,posted speed limit
DRIVER FAIL TO STOP AT STEADY CIRCULAR RED SIGNAL OR AT STEADY RED ARROW SIGNAL,steady red arrow signal
FAILURE TO STOP AT STOP SIGN,stop sign
DRIVER READING A TEXTELECTRONIC MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY,travel portion
EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,posted speed limit
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,flashing red traffic signal without stopping
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,unauthorized window tinting material
STOPPING STANDING PARKING VEH WHERE PROHIBITED BY OFFICIAL SIGN,stopping standing parking veh
FAILURE TO NOTIFY ADM OF ADDRESS CHANGE WITHIN 30 DAYS,address change within 30 days
MOTOR VEH WO REQUIRED STOP LAMPS EQUIPMENT,motor veh wo required stop lamps equipment
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes
DRIVING ON HWY WITH OBSTRUCTED WINDSHIELD VIEW,obstructed windshield view
DRIVER ENTERING CROSSWALK AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,flashing red traffic signal without stopping
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,right half
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,uniformed police
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
DRIVER FAILURE TO STOP AT STOP SIGN LINE,stop sign line
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,steady circular red signal
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,use handheld telephone whilemotor vehicle
IMPROPER PASSING OF OVERTAKEN VEHICLE,overtaken vehicle
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,posted speed limit
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,flashing red traffic signal stop line
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
RT TURN FROM IMPROPER ROAD POSITION,improper road position
EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,posted speed limit
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 60,prudent speed
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued
FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERG VEH,stopped emerg veh
FAILURE YIELD RIGHT OF WAY ON LEFT TURN,failure yield right
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,display two lighted front lamps
DRIVING ON HWY WITH OBSTRUCTED WINDSHIELD VIEW,obstructed windshield view
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
FAILURE TO EQUIP VEH WITH REQUIRED REAR STOP LAMP,required rear stop lamp
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,posted speed limit
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,imprudent manner endangering property life
DRIVE ACROSS PRIVATE PROPERTY FOR THE PURPOSE OF AVOIDING TRAFFIC CONTROL DEVICE,drive across private property
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVER FAILURE TO STOP AT STOP SIGN LINE,stop sign line
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,display two lighted front lamps
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,uniformed police
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,driving veh wo adequate rear reg plate illumination
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,motor vehicle following vehicle closer
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,flashing red traffic signal without stopping
DISPLAYING REG PLATE ISSUED FOR OTHER VEHICLE TO OTHER PERSON,displaying reg plate issued
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,prudent speed
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,use handheld telephone whilemotor vehicle
DRIVER SENDING A TEXTMSG WHILE OPER VEH IN TRAVEL PORTION OF HWY,travel portion
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,posted speed limit
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,display lighted lamps illuminating device
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,flashing red traffic signal without stopping
EMERGENCY BRAKING SYSTEM NOT OPERATING PROPERLY,emergency braking system
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued
DRIVER FAILING TO GIVE TURN SIGNAL CONTINUOUSLY DURING LAST 100 OF TRAVEL BEFORE TURNING,give turn signal continuously
DRIVER FAIL TO MAKE REQUIRED STOP AT STOP SIGN,make required stop
UNSAFE LANE CHANGING,unsafe lane changing
UNSAFE LANE CHANGING,unsafe lane changing
DRIVER FAILURE TO REDUCE LIGHT DISTRIBUTION WHEN WITHIN 300 FEET OF APPROACHING VEH FROM REAR,within 300 feet
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,steady circular red signal
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,driving veh wo adequate rear reg plate illumination
DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN,red traffic signal
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,posted speed limit
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued
FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERG VEH,stopped emerg veh
MOTOR VEH WO REQUIRED STOP LAMPS EQUIPMENT,motor veh wo required stop lamps equipment
DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION,driving veh wo adequate rear reg plate illumination
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
DRIVING UNSAFE VEH ON HWY,driving unsafe veh
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,use handheld telephone whilemotor vehicle
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,imprudent manner endangering property life
FAILURE TO EQUIP VEH WITH REQUIRED REAR STOP LAMP,required rear stop lamp
DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT,hwy wo required minimum equipment
OPERATOR NOT RESTRAINED BY SEATBELT,seatbelt
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,posted speed limit
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,posted speed limit
FAILURE TO EQUIP VEH WITH REQUIRED REAR STOP LAMP,required rear stop lamp
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,flashing red traffic signal stop line
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 45,prudent speed
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,posted speed limit
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,posted speed limit
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,attach vehicle registration plates
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,address within 30 days
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,display two lighted front lamps
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,flashing red traffic signal stop line
OPERATING VEH WITH TEMPORARY PARKING PLACARD HANGING FROM INSIDE REARVIEW MIRROR,temporary parking placard hanging
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,highway without current registration plates
