,0
902,ALLOWING VEHICLE TO BE DRIVEN ON HWY WITH UNPAID REGISTRATION FEE
903,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 26204 27103
904,PARK IN DESIG INDIV WDISIBILITIES SPACE WO SPECIAL REG PLATEWINDSHIELD PLACARD AND AUTH TO USE
905,EXCEEDING POSTED MAXIMUM SPEED LIMIT 77 MPH IN A POSTED 50 MPH ZONE
906,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 8250
907,DRIVING WHILE LIC SUSP UNDER 16203 16206A2 FAIL TO ATTEND DIP 17106 26204206 OR 27103
908,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 61
909,STOPPING PARKING VEH ON HWY OUTSIDE BUSINESS RESIDENTIAL DISTRICT
910,EXCEEDING MAXIMUM SPEED 53 MPH IN A POSTED 45 MPH ZONE
911,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 60 MPH40MPH ZONE
912,DRIVER PASSING MOVING EMERGENCY VEH USING SIGNALS
913,EXCEEDING POSTED MAXIMUM SPEED LIMIT 71 MPH IN A POSTED 45 MPH ZONE
914,THROWING ANY REFUSEON HWY
915,THROWING DISCHARGE ANY REFUSE ON HWY
916,EXCEEDING POSTED MAXIMUM SPEED LIMIT 69 MPH IN A POSTED 40 MPH ZONE
917,EXCEEDING MAXIMUM SPEED 92 MPH IN A POSTED 55 MPH ZONE
918,PERSON DRIVING MOTOR VEH ON HWYON SUSPENDED LIC AND PRIVILEGE
919,EXCEEDING MAXIMUM SPEED 68 MPH IN A POSTED 40 MPH ZONE
920,OPER MOTOR VEH OCCUPANT UNDER 16 NOT RESTRAINED BY CHILD SAFETY SEAT
921,PERSON DRIVING ON HWY VEH WITH VISIBLE REDLAMP
922,IMPROPER DISPLAY OF CURRENT AND VINTAGE REG PLATES
923,EXCEEDING MAXIMUM SPEED 69 MPH IN A POSTED 55 MPH ZONE
924,EXCEEDING MAXIMUM SPEED 64 MPH IN A POSTED 50 MPH ZONE
925,MOTOR VEH WO REQUIRED ELECTRIC TURN SIGNAL EQUIPMENT
926,DRIVING vEHICLE WHILE UNDERTHE INFLUENCE OF ALCOHOL PER SE
927,OWNER FAILURE TO APPLY FOR TITLE CERT FOR INSTATE VEH
928,OPERATING A MOPED ON HWY WO REQ LICENSE OR PERMIT
929,FRAUDULENT POSSESSION OF VEH OWNERSHIP REG PLATE
930,OPER MV WITH OCCUPANT UNDER AGE 16 NOT RESTRAINED BY SEATBELT CHILD SAFETY SEAT
931,EXCEEDING MAXIMUM SPEED 68 MPH IN A POSTED 35 MPH ZONE
932,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 7045
933,DRIVING WHILE SUSP UNDER 17106
934,EXCEEDING MAXIMUM SPEED 33 MPH IN A POSTED 25 MPH ZONE
935,USE OF DISABLED PERSON PARKING PLACARD IF NOT DISABLED
936,SUSPENDED LICENSEE FAILURE TO RETURN DEALER LICENSE TO ADM
937,DRIVE VEH WHILE UNDER INFLUENCE OF ALCOHOL PER SE WHILE TRANSP MINOR
938,PERSON OPERATING MOPED MOTOR SCOOTER WO APPROVED EYE PROTECTIVE DEVICE WINDSCREEN
939,EXCEEDING MAXIMUM SPEED 67 MPH IN A POSTED 30 MPH ZONE
940,EXCEEDING POSTED MAXIMUM SPEED LIMIT 83 MPH IN A POSTED 35 MPH ZONE
941,FAIL APPLY WIN 48 HOURS FOR REPLACEMENT OF AFFIXEDCURRENT REGPLATE AFTER THEFT
942,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 60 MPH
943,EXCEEDING MAXIMUM SPEED 67 MPH IN A POSTED 45 MPH ZONE
944,FAILURE OF DRIVER TO DRIVE TO CURB UPON SIGNAL BY POLICEVEH
945,UNAUTH STOPPING STANDING OR PARKING IN SPACE RESTRICTED FOR USE OF INDIVIDUALS WITH DISABILITIES
946,DRIVING VEH ON HWY WITH DEVICE IMPROPERLY DISPLAYING WHITE LIGHT FROM REAR
947,OPER MV WITH OPERATOR NOT RESTRAINED BY SEATBELTCHILD SAFETY SEAT
948,HOLDER OF PROVISIONAL LIC 18 YOLDER USING A HANDHELD TELEPHONE WHILE OPER MV
949,EXCEEDING POSTED MAXIMUM SPEED LIMIT 67 MPH IN A POSTED 50 MPH ZONE
950,EXCEEDING MAXIMUM SPEED 77 MPH IN A POSTED 50 MPH ZONE
951,EXCEEDING POSTED MAXIMUM SPEED LIMIT 40 MPH IN A POSTED 25 MPH ZONE
952,KNOWINGLY USING FALSIFIED VEH REG PLATE
953,PARKING VEH IN FRONT OF PRIVATE DRIVEWAY WO OWNERS CONSENT
954,DRIVING ATTEMPTING TO DRIVE VEH WHILE SO FAR IMPAIRED BY ALCOHOL CANNOT DRIVE SAFELY
955,EXCEEDING POSTED MAXIMUM SPEED LIMIT 80 MPH IN A POSTED 60 MPH ZONE
956,HOLDER OF LEARNERS PERMIT FOR MOTORCYCLE DRIVING WITH UNAUTHORIZED RIDER
957,STOPPING VEH IN INTERSECTION
958,EXCEEDING POSTED MAXIMUM SPEED LIMIT 71 MPH IN A POSTED 55 MPH ZONE
959,DEALER USING TEMP REG PLATE ON VEH DEALER OWNS
960,EXCEEDING POSTED MAXIMUM SPEED LIMIT 86 MPH IN A POSTED 55 MPH ZONE
961,DRIVING WHILE LIC SUSP UNDER 16203
962,EXCEEDING POSTED MAXIMUM SPEED LIMIT 79 MPH IN A POSTED 50 MPH ZONE
963,HOLDER OF LEARNERS PERMIT DRIVING WITH UNAUTHORIZED PERSON OCCUPYING FRONT SEAT
964,TRAILER WO REQUIRED STOP LAMPS EQUIPMENT
965,USE LAMPS REFLECTORS ON MOTOR VEH CHANGING ORIGINAL DESIGN PERFORMANCE
966,ATTACHING UNAUTHORIZED VEH REG PLATE WITH INTENTTO CONCEAL VEH OWNER ID
967,EXCEEDING POSTED MAXIMUM SPEED LIMIT 55 MPH IN A POSTED 45 MPH ZONE
968,FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERGENCY
969,EXCEEDING POSTED MAXIMUM SPEED LIMIT 49 MPH IN A POSTED 35 MPH ZONE
970,PROHIBITED USE OF FLASHING LIGHT
971,FAILURE OF VEH DRIVER TO DISPLAY CURRENT REG PLATES
972,DISPLAY CAUSE PERMIT TO BE DISPLAYED FICTITIOUS LIC
973,FAILURE OF VEH DRIVER TO STOP AFTER UNATTENDED DAMAGE ACCIDENT
974,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 56
975,FAIL VEH DRIVER IN ACCTO RPT ATTENDED VEH DAMAGE TO NEAREST POLICE
976,EXCEEDING POSTED MAXIMUM SPEED LIMIT 40 MPH IN A POSTED 35 MPH ZONE
977,STOPPING VEH ON HWY OUTSIDE BUSINESS RESIDENTIAL DISTRICT
978,HOLDER OF NONCOMMERCIAL CLASS C DR LIC DRIVING ON HWY MV OF THE TYPE NOT AUTH BY LIC
979,OPERATOR OF MOPED MOTOR SCOOTER FAILURE TO CARRY REQUIRED SECURITY
980,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 8540
981,EXCEEDING POSTED MAXIMUM SPEED LIMIT 82 MPH IN A POSTED 60 MPH ZONE
982,DRIVER FAILURE TO STOP BEFORE ENTERING AND CROSSING HWY FROM PRIVATE DRIVEWAY
983,FAILURE OF VEH DRIVER IN ACCIDENT TO LOCATE AND NOTIFY OWNER OF UNATTENDEDVEHICLE OF DAMAGE
984,DRIVING ELECTRIC DRIVE PLUGIN VEHICLE IN HOV LANEWITHOUT REQUIRED NUMBER OF PASSENGERS
985,DRIVING MOTOR VEH WHILE LIC SUSPENDED UNDER
986,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 90+
987,EXCEEDING POSTED MAXIMUM SPEED LIMIT 39 MPH IN A POSTED 35 MPH ZONE
988,DISPLAYED SUSPENDED LIC
989,FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMER
990,EXCEEDING POSTED MAXIMUM SPEED LIMIT 44 MPH IN A POSTED 30 MPH ZONE
991,EXCEEDING POSTED MAXIMUM SPEED LIMIT 69 MPH IN A POSTED 60 MPH ZONE
992,DRIVER FAILURE TO STOP BEFORE SIDEWALK AFTER EMERGING FROM BUILDING
993,EXCEEDING MAXIMUM SPEED 74 MPH IN A POSTED 40 MPH ZONE
994,DRIVING VEH WHILE IMPAIREDBY CONTROLLED DANGEROUS SUBSTANCE
995,FAILURE TO COMPLY WITH MOTOR CARRIER SAFETY RULES AND REGS
996,VEH HWY OPERATION WITH INADEQUATE REAR RED COLOR REFLECTOR
997,DISPLAYING REG PLATES ISSUED TO OTHER PERSON
998,DRIVING MV IN THIS STATE UNDER FOREIGN LICPERMITAFTER LIC PRIVILEGE SUSPENDED IN MARYLAND
999,FAILURE TO RETURN TO REMAIN AT SCENE OF ACCIDENTINVOLVING ATTENDED PROPERTY DAMAGE
1000,UNLAWFUL USE OF HISTORIC PASS VEH MOTORCYCLE TRUCK FOR PRIM TRANS OF PASS PROP ON HWY
1001,DRIVER PERMITTING PERSON TO OCCUPY AREA OF VEHICLEPRIMARILY INTENDED TO CARRY CARGO
1002,FAILURE OF DR TO MAKE LANE CH TO AVAIL LANE NOT IMMED ADJ TO STOPPED STANDING PARKED VEH
1003,DRIVING OVER BARRIER ON DIVIDED HWY
1004,PEDESTRIAN FAIL TO OBE
1005,DRIVING VEH WHILE SO FAR IMPAIRED BY DRUGSCANNOT DRIVE SAFELY
1006,EXCEEDING POSTED MAXIMUM SPEED LIMIT 74 MPH IN A POSTED 45 MPH ZONE
1007,PERSON DRIVING MOTOR VEH ON HWY PUBLIC USE PROPERTY ON REVOKED LIC AND PRIVILEGE
1008,FRAME OF COMMERCIAL VEHICLE CRACKED LOOSE SAGGING BROKEN
1009,DRIVER FAILURE TO STOP BEFORE ENTERINGHWY FROM PRIVATE ROAD
1010,FAILURE MOTOR VEH DRIVER TO FURNISH WRITTEN ID INFO ON UNATTENDED DAMAGED VEH PROPERTY
1011,EXCEEDING MAXIMUM SPEED 92 MPH IN A POSTED 50 MPH ZONE
1012,OWNER KNOWINGLY PERMITTING VEH TO BE DRIVEN ON HWY IF REG IS SUSPENDED
1013,FAIL VEH DRIVER IN ACCTO RPTATTENDED VEH TO NEAREST POLICE
1014,EXCEEDING POSTED MAXIMUM SPEED LIMIT 65 MPH IN A POSTED 55 MPH ZONE
1015,FAILURE TO RETURN TO REMAIN AT SCENE OF ACCIDENTINVOLVING ATTENDED VEHDAMAge
1016,FAIL OF DRIVER IN ATTENDED PROPERTYACCIDENT TO FURNISH REQ ID LIC
1017,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 62
1018,EXCEEDING MAXIMUM SPEED 49 MPH IN A POSTED 35 MPH ZONE
1019,OPERATING MOTORCYCLE BETWEEN LANES OF TRAFFIC ADJACENT LINES OF VEHS ROWS OF VEHS
1020,EXCEEDING POSTED MAXIMUM SPEED LIMIT 38 MPH IN A POSTED 30 MPH ZONE
1021,FAILURE TO PROPERLY MAINTAIN AND FASTEN VEH REG PLATE IN VISIBLE POSITION
1022,EXCEEDING MAXIMUM SPEED 79 MPH IN A POSTED 60 MPH ZONE
1023,OPER MV WO REQUIRED REARVIEW MIRRORS
1024,FAILURE TO RETURN TO REMAIN AT SCENE OF ACCIDENT INVOLVING ATTENDED VEHICLE DAMAGE
1025,PERSON DRIVING MOTOR VEH ON HWY PUBLIC USE PROPERTY ON CANCELLED LIC AND PRIVILEGE
1026,EXCEEDING POSTED MAXIMUM SPEED LIMIT 73 MPH IN A POSTED 55 MPH ZONE
1027,TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION
1028,EXCEEDING POSTED MAXIMUM SPEED LIMIT 73 MPH IN A POSTED 40 MPH ZONE
1029,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 55 MPH
1030,KNOWINGLY HOLDING FALSIFIED VEH DOCUMENT
1031,EXCEEDING MAXIMUM SPEED 57 MPH IN A POSTED 45 MPH ZONE
1032,EXCEEDING POSTED MAXIMUM SPEED LIMIT 70 MPH IN A POSTED 40 MPH ZONE
1033,FAILURE TO REDUCE SPEED IN DANGEROUS WEATHER CONDITION
1034,EXCEEDING MAXIMUM SPEED 73 MPH IN A POSTED 50 MPH ZONE
1035,DRIVING COMMERCIAL MOTOR VEH WITHOUT REQUIRED LICENSE FOR THAT CLASS OF VEHICLE
1036,EXCEEDING POSTED MAXIMUM SPEED LIMIT 57 MPH IN A POSTED 30 MPH ZONE
1037,EXCEEDING POSTED MAXIMUM SPEED LIMIT 54 MPH IN A POSTED 30 MPH ZONE
1038,FAIL TO RETURN REG CARD
1039,FAILURE TO RETURN TO REMAIN AT SCENE OF ACCIDENT INVOLVING ATTENDED VEH DAMAGE
1040,DRIVER WRITING A ELECTRONIC MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY
1041,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 27103
1042,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 41MPH
1043,DRIVER MAKING TURN ONTO PRIVATE DRIVEWAY WHEN UNSAFE
1044,PERSON DRIVING MOTOR VEH ON HWY PUBLIC USE PROPERTYON REVOKED LIC AND PRIVILEGE
1045,FAILURE TO EQUIP MOTORCYCLE WITH REQUIRED HEADLAMPS
1046,DRIVING ATTEMPTINGTO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION
1047,LICENSEE FAILURE TO SURRENDER RECOVERED ORIG LIC AFTER DUP ISSUED
1048,EXCEEDING POSTED MAXIMUM SPEED LIMIT 87 MPH IN A POSTED 55 MPH ZONE
1049,PARKING VEH WI 30 FT OF STOPSIGN
1050,INADEQUATE TOWING DEVICE
1051,DRIVER BACKING MOTOR VEH ON ROADWAY OF CONTROLLED ACCESS HWY
1052,STANDING PARKING VEH WHEREVER PROHIBITED BY OFFICIAL SIGN
1053,KNOWINGLY POSSESS VEH WITH REMOVED ID
1054,FAILURE OF VEH DRIVER TO FURNISH REQD WRITTEN ID INFOINON UNATTENEDED DAMAGED VEH
1055,EXCEEDING MAXIMUM SPEED 57 MPH IN A POSTED 55 MPH ZONE
1056,FAILURE TO YIELD THE RIGHTOFWAY TO PEDESTRIAN ORBICYCLE AFTER GREEN ARROW SIGNAL
1057,DRIVING VEH WHILE UNDER THE INFLUENCE OF ALCOHOL
1058,DRIVER SENDING AN ELECTRONIC MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY
1059,DRIVING VEH ON HWY WITH SUSPENDED REG
1060,DRIVING WITHOUT DRIVERS LICENSE
1061,DRIVER READING A TEXTELECTRONIC MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY
1062,FAILING TO STOP UNTIL SAFE TO ENTER INTERSECTION WNONFUNCT TRAF SIGNAL
1063,EXCEEDING MAXIMUM SPEED 50 MPH IN A POSTED 25 MPH ZONE
1064,FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM FOREIGN MATERIALS BIKE RACK
1065,EXCEEDING POSTED MAXIMUM SPEED LIMIT 48 MPH IN A POSTED 40 MPH ZONE
1066,ALLOWING AN INDIVIDUAL TO OPERATE FORHIRE LIMOUSINE WITHOUT SPECIAL LIMOUSINE REG PLATES
1067,DRIVER FAILURE TO SOUND HORN WARNING TO PEDESTRIAN
1068,DRIVER MAKING PROHIBITED UTURN ON CURVE
1069,FAILING TO STOP UNTIL SAFE TO CONTINUE THROUGH INTERSECTION WNONFUNCT TRAF SIGNAL
1070,KNOWINGLY DRIVING TO BE DRIVEN UNINSURED VEHICLE
1071,EXCEEDING POSTED MAXIMUM SPEED LIMIT 79 MPH IN A POSTED 60 MPH ZONE
1072,FAILURE OF VEH OWNER TO FURNISH ADM REQUIRED INSURANCE EVIDENCE AFTER BODILY INJURY ACCIDENT
1073,WILLFULLY DISOBEYING DIRECTION OF A POLICE OFFICER
1074,EXCEEDING MAXIMUM SPEED 90 MPH IN A POSTED 60 MPH ZONE
1075,FAILURE TO STOPVEH WITHIN 12 INCHES OF RIGHT CURB
1076,DRIVER UNDER 18 OPERATING MV WHILE USING A WIRELESS COMMUNICATION DEVICE
1077,DISPLAY SUSP PLATES
1078,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 110
1079,REAR SIDEMARKERS AND CLEARANCE REAR ID REVERSE FRONT LEFT ID INOP
1080,EXCEEDING POSTED MAXIMUM SPEED LIMIT 61 MPH IN A POSTED 35 MPH ZONE
1081,EXCEEDING MAXIMUM SPEED 54 MPH IN A POSTED 25 MPH ZONE
1082,EXCEEDING POSTED MAXIMUM SPEED LIMIT 72 MPH IN A POSTED 40 MPH ZONE
1083,EXCEEDING MAXIMUM SPEED 67 MPH IN A POSTED 35 MPH ZONE
1084,FAILURE TO REMOVE AND RETURN REG PLATES 10 DAYS AFTER VEH TRANSFER
1085,EXCEEDING MAXIMUM SPEED 63 MPH IN A POSTED 30 MPH ZONE
1086,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 6204
1087,ATTACHING UNAUTHORIZED VEH REG PLATE WITH INTENTTO MISREPRESENT VEH ID
1088,DRIVER WRITINGSENDINGREADING A TEXTMSG WHILE OPER VEH IN TRAVEL PORTION OF HWY
1089,KNOWINGLY USING FALSIFIED VEH REG
1090,FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE COVERS
1091,MOTORCYCLE OPERATOR OVERTAKING AND PASSING VEH IN SAME LANE
1092,OPER SOUND AMPLIFICATION SYSTEM FROM VEH THAT CAN BE HEARD FROM 50 OR MORE
1093,PERSON WITH MD REG VEHICLE FAILING TO TRANSPORT CHILD WEIGHING 40 LBS OR LESS IN CHILD SAFETY SEAT
1094,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 65MPH IN 55MPH
1095,PLATES
1096,FAILURE OF VEH DRIVER TO PASS SAFELY AT DIST OF ATLEAST 3FT WHEN PASSING BIKEEPAMDMOTOR SCOOTER
1097,ATTACHING UNAUTHORIZED VEH REG PLATE WITH INTENTTO CONCEAL MISREPRESENT VEH ID
1098,FAIL OF DRIVER IN ATTENDED VEHICLE ACCIDENT TO FURNISH REQ ID LIC
1099,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 65 MPH IN 35 MPH ZONE
1100,ALLOWING UNREG VEH TO BE DRIVEN ON HWY
1101,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 5335
1102,FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERG
1103,FAIL OF DRIVER IN BODILY INJURYACCIDENT TO FURNISH REQ ID LIC
1104,USE LAMPS ON MOTOR VEH CHANGING ORIGINAL PERFORMANCE
1105,DRIVER FAILING TO PREVENT AGAINST LOSS OF LOAD
1106,FAILURE TO SECURE ROLLONOFFHOOKLIFT CONTAINERS BY PRODUCT SPECIFIC RULES
1107,EXCEEDING POSTED MAXIMUM SPEED LIMIT 78 MPH IN A POSTED 55 MPH ZONE
1108,MODIFYING VEHICLE REGISTRATION PLATE WINTENT TO AVOID ID
1109,DRIVER FAILURE TO YIELD RIGHTOFWAY IN BIKE LANESHOULDER TO RIDER OF BIKE
1110,DRIVE ACROSS PRIVATE PROPERTYLEAVE THE ROADWAY FOR THE PURPOSE OF AVOIDING TRAFFIC CONTROL DEVICE
1111,FAILURE OF DRIVER TO YIELD RIGHTOFWAY TO EMERGENCY
1112,EXCEEDING MAXIMUM SPEED 38 MPH IN A POSTED 25 MPH ZONE
1113,EXCEEDING MAXIMUM SPEED 105 MPH IN A POSTED 55 MPH ZONE
1114,DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE ANY OTHER TURN
1115,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 92 MPH
1116,OP VEH ON HWY WO REMOVING SPILLAGE FROM NON LOAD CARRYING PARTS OF VEHICLE
1117,UNLAWFUL USE OF HISTORIC PASSVEH FOR TRANSP TO AND FROM EMPLOYMENT
1118,DRIVING VEH IN SPEED CONTEST ON HWY USED BY PUBLIC
1119,DRIVINGA DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION
1120,EXCEEDING MAXIMUM SPEED 45 MPH IN A POSTED 40 MPH ZONE
1121,EXCEEDING POSTED MAXIMUM SPEED LIMIT 75 MPH IN A POSTED 45 MPH ZONE
1122,UNLAWFUL USE OF HISTORIC TRUCK FOR GENERAL DAILY TRANSPORTATION
1123,PARKING VEH IN INTERSECTION
1124,LICENSEE FAILURE TO APPLY FOR DUP LIC WHEN LIC LOST
1125,OBSURINGMODIFYING VEHICLE REGISTRATION PLATE WINTENT TO AVOID ID
1126,UNLAWFUL USE OF HISTORIC PASSVEH TRUCK FOR TRANSP TO AND FROM EMPLOYMENT
1127,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 5040ICY
1128,EXCEEDING MAXIMUM SPEED 89 MPH IN A POSTED 45 MPH ZONE
1129,DRIVER WRITINGSENDINGREADING A TEXTELECTRONIC MSG WHILE OPER VEH IN TRAVEL PORTION OF HW
1130,EXCEEDING MAXIMUM SPEED 80 MPH IN A POSTED 50 MPH ZONE
1131,FAIL OF DRIVER IN ATTEND VEHACCIDENT TO FURNISH REQ ID LIC
1132,DRIVINGMOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION
1133,STANDING VEH ON PRIVATE PROPERTY WO PERMISSION
1134,EXCEEDING POSTED MAXIMUM SPEED LIMIT 81 MPH IN A POSTED 55 MPH ZONE
1135,OPER MV NOT RESTRAINED BY SEATBELT
1136,EXCEEDING MAXIMUM SPEED 71 MPH IN A POSTED 40 MPH ZONE
1137,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 59
1138,OPER MV WITH OCCUPANT UNDER AGE 16 NOT RESTRAINED BY CHILD SAFETY SEAT
1139,DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILE MOTOR VEHICLE IS IN MOTION
1140,TAILLIGHT STOPLIGHT TURN SIGNAL ID LIGHT CLEARANCE LIGHT MARKER LIGHT INOPERATIVE
1141,VEH DRIVER FOLLOWING WITHIN PROHIBITED DISTANCE OF FIRE APPARATUS
1142,EXCEEDING SPEED LIMIT IN SCHOOL ZONE WITH NOTICE OF DOUBLE FINES 55 MPH IN 35 ZONE
1143,EXCEEDING POSTED MAXIMUM SPEED LIMIT 56 MPH IN A POSTED 30 MPH ZONE
1144,EXCEEDING POSTED MAXIMUM SPEED LIMIT 85 MPH IN A POSTED 30 MPH ZONE
1145,USING HANDHELD MOBILE PHONE WHILE OPERATING A COMMERCIAL MOTOR VEHICLE
1146,EXCEEDING MAXIMUM SPEED 46 MPH IN A POSTED 35 MPH ZONE
1147,OWNER FAILURE TO RETURN TO ADM SUSPENDED REG CARD
1148,EXCEEDING MAXIMUM SPEED 80 MPH IN A POSTED 30 MPH ZONE
1149,FAILURE TO MAINTAIN VISIBLE REGISTRATION PLATE FREE FROM FOREIGN MATERIALS AND COVERS
1150,DRIVING ATTEMPTING TO DRIVE VEH WHILE IMPAIRED BY ALCOHOL
1151,DRIVER READINGELECTRONIC MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY
1152,TAGS
1153,OPER MV WITH OCCUPANT UNDER AGE 16 NOT RESTRAINED BY SEATBELT
1154,WILLFULLY DISOBEYING LAWFUL ORDER DIRECTION OF A POLICE OFFICER
1155,EXCEEDING MAXIMUM SPEED 49 MPH IN A POSTED 25 MPH ZONE
1156,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 35MPH
1157,EXCEEDING POSTED MAXIMUM SPEED LIMIT 100 MPH IN A POSTED 40 MPH ZONE
1158,EXCEEDING POSTED MAXIMUM SPEED LIMIT 66 MPH IN A POSTED 40 MPH ZONE
1159,DRIVING WHILE LIC SUSP UNDER 26204206
1160,FAILURE TO APPLY FOR DUPLICATE REG CARD TO REPLACE DAMAGED CARD
1161,DRIVING WHILE SUSP UNDER 27103
1162,FAIL VEH DRIVER IN ACCTO RPTBODILY INJTO NEAREST POLICE
1163,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY SPEED > THAN 40 MPH
1164,EXCEEDING MAXIMUM SPEED 42 MPH IN A POSTED 30 MPH ZONE
1165,ATTEMPTING TO DRIVE VEH WHILE SO FAR IMPAIRED BY DRUGS CANNOT DRIVE SAFELY
1166,VEH FAILURE TO DISPLAY REFLECT AMBER COLOR LIGHT ON LAMPS REFLECTORS AS REQ
1167,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 80
1168,ABANDONING VEH ON PUBLIC PROPERTY
1169,EXCEEDING POSTED MAXIMUM SPEED LIMIT 39 MPH IN A POSTED 25 MPH ZONE
1170,FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERGENCY VEHICLE
1171,EXCEEDING MAXIMUM SPEED 56 MPH IN A POSTED 45 MPH ZONE
1172,FAILURE OF VEH DRIVER TO DISPLAY CURRENT REG
1173,EXCEEDING POSTED MAXIMUM SPEED LIMIT 32 MPH IN A POSTED 25 MPH ZONE
1174,DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION SECONDARY ACTION
1175,OPERATING A COMMERCIAL MOTOR VEHICLE CMV WO A CDL WHEN REQUIRED
1176,UNAUTHORIZED DISPLAY OF TEMPORARY PARKING PLACARD
1177,FAILURE TO YIELD THE RIGHTOFWAY TO PEDESTRIAN AFTER GREEN ARROW SIGNAL
1178,DRIVING MOTOR VEHICLE WHEN NOT QUALIFIED TO DO SOMOTOR CARRIER PERMITTING PERS NOT QUALIFIED TO DRV
1179,EXCEEDING POSTED MAXIMUM SPEED LIMIT 88 MPH IN A POSTED 55 MPH ZONE
1180,EXCEEDING POSTED MAXIMUM SPEED LIMIT 48 MPH IN A POSTED 35 MPH ZONE
1181,KNOWINGLY HOLDING FALSIFIED VEH DOCUMENT REG PLATE
1182,EXCEEDING MAXIMUM SPEED 88 MPH IN A POSTED 55 MPH ZONE
1183,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 70MPH IN 50 ZONE
1184,OPERATING A COMMERCIAL MOTOR VEHICLE WO A CDL WHEN REQUIRED
1185,EXCEEDING POSTED MAXIMUM SPEED LIMIT 50 MPH IN A POSTED 45 MPH ZONE
1186,FAIL TO TRANSPORT CHILD UNDER AGE 16 IN A SEAT BELT
1187,EXCEEDING MAXIMUM SPEED 97 MPH IN A POSTED 55 MPH ZONE
1188,FAILURE OF VEH DRIVER IN ACCIDENT TO LOCATE AND NOTIFY OWNER OF UNATTENDEDVEHOF DAMAGE
1189,PERSON DRIVING MOVING ON HWY VEH WITH VISIBLE BLUE LAMP DEVICE
1190,FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM FOREIGN MATERIALSRUSTDIRT
